product_url,product_code,total_sellers_qnt,seller_name,price_kzt,ratings_qnt,review_date_oldest,review_date_latest
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,EGO parf,26393,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,All_Goods,26500,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,ELISSIA,26900,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,Aroma Secret,26999,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,Love in Paris,26999,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,APG техникс,27291,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,Shоp_kz,27291,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,1Top.kz,27291,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,My Way,28290,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,Beauty Market KZ,28380,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,Estual,29000,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,VIVERA,30000,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,Volume beauty,30000,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,PARFUM-KZ - Официальный Магазин,32190,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,ALLA PARFUMS,32197,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,Adel Market,33997,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,MIM Cosmetics,34000,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,Luxe makeup,34566,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,CosMarket,35000,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,ИП АБДРАМAНОВ,35000,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,MonAmie,35295,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,Monamie kz,35295,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,ПАРФЮМ.KZ,37295,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/montblanc-explorer-parfjumernaja-voda-edp-100-ml-dlja-muzhchin-17302013/,17302013,25,Mishel,37900,982,07-10-2019,04-10-2025
https://kaspi.kz/shop/p/valentino-born-in-roma-uomo-parfjumernyi-nabor-100-ml-dlja-muzhchin-129986545/,129986545,1,CosMarket,59999,12,19-02-2025,23-09-2025
https://kaspi.kz/shop/p/dior-sauvage-elixir-ekstrakt-duhov-extrait-de-parfum-60-ml-dlja-muzhchin-129156051/,129156051,9,Aroma Mir,47843,32,16-12-2024,03-10-2025
https://kaspi.kz/shop/p/dior-sauvage-elixir-ekstrakt-duhov-extrait-de-parfum-60-ml-dlja-muzhchin-129156051/,129156051,9,Aromatic.kz,47846,32,16-12-2024,03-10-2025
https://kaspi.kz/shop/p/dior-sauvage-elixir-ekstrakt-duhov-extrait-de-parfum-60-ml-dlja-muzhchin-129156051/,129156051,9,ИП MARLEN,47847,32,16-12-2024,03-10-2025
https://kaspi.kz/shop/p/dior-sauvage-elixir-ekstrakt-duhov-extrait-de-parfum-60-ml-dlja-muzhchin-129156051/,129156051,9,Elegance Fragrance,47849,32,16-12-2024,03-10-2025
https://kaspi.kz/shop/p/dior-sauvage-elixir-ekstrakt-duhov-extrait-de-parfum-60-ml-dlja-muzhchin-129156051/,129156051,9,Секрет Аромата,47864,32,16-12-2024,03-10-2025
https://kaspi.kz/shop/p/dior-sauvage-elixir-ekstrakt-duhov-extrait-de-parfum-60-ml-dlja-muzhchin-129156051/,129156051,9,Amavi,84400,32,16-12-2024,03-10-2025
https://kaspi.kz/shop/p/dior-sauvage-elixir-ekstrakt-duhov-extrait-de-parfum-60-ml-dlja-muzhchin-129156051/,129156051,9,YOUNIQUE by Amavi,84400,32,16-12-2024,03-10-2025
https://kaspi.kz/shop/p/dior-sauvage-elixir-ekstrakt-duhov-extrait-de-parfum-60-ml-dlja-muzhchin-129156051/,129156051,9,perfumeshop_astana,85100,32,16-12-2024,03-10-2025
https://kaspi.kz/shop/p/dior-sauvage-elixir-ekstrakt-duhov-extrait-de-parfum-60-ml-dlja-muzhchin-129156051/,129156051,9,Perfume Home,85950,32,16-12-2024,03-10-2025
https://kaspi.kz/shop/p/dolce-gabbana-l-imperatrice-edt-100-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047230/,138047230,5,PARFUM-KZ - Официальный Магазин,32860,22,07-06-2025,29-09-2025
https://kaspi.kz/shop/p/dolce-gabbana-l-imperatrice-edt-100-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047230/,138047230,5,Perfume shop,32869,22,07-06-2025,29-09-2025
https://kaspi.kz/shop/p/dolce-gabbana-l-imperatrice-edt-100-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047230/,138047230,5,MIM Cosmetics,34995,22,07-06-2025,29-09-2025
https://kaspi.kz/shop/p/dolce-gabbana-l-imperatrice-edt-100-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047230/,138047230,5,Aroma Secret,34999,22,07-06-2025,29-09-2025
https://kaspi.kz/shop/p/dolce-gabbana-l-imperatrice-edt-100-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047230/,138047230,5,Love in Paris,34999,22,07-06-2025,29-09-2025
https://kaspi.kz/shop/p/moschino-i-love-love-edt-100-ml-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047750/,138047750,3,Love in Paris,28497,7,05-06-2025,19-09-2025
https://kaspi.kz/shop/p/moschino-i-love-love-edt-100-ml-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047750/,138047750,3,Aroma Secret,28498,7,05-06-2025,19-09-2025
https://kaspi.kz/shop/p/moschino-i-love-love-edt-100-ml-atomaizer-10-ml-tualetnaja-voda-edt-110-ml-dlja-zhenschin-138047750/,138047750,3,PARFUM-KZ - Официальный Магазин,28500,7,05-06-2025,19-09-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,ZARINA BEAUTY,32541,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,AROMELIA,32551,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,EGO parf,32552,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,Vellor PARFUM,32553,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,ТОО ALT GLOBAL,32553,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,Секрет Аромата,32565,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,FLORA,32579,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,LAtelier Paris,32626,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,Aromatic.kz,32626,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,OHBELLA,40000,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,YOUNGSTAR PERFUMERY,40000,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,Multibrands_kz,40000,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,INO,40005,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,ИП BLACKBERRY,54000,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,Французский парфюм,58350,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,MIA,67999,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,perfumeshop_astana,68000,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,Aroma Secret,71888,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,Love in Paris,71888,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,MIM Cosmetics,72500,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/chanel-bleu-de-chanel-parfjumernaja-voda-edp-50-ml-dlja-muzhchin-17301495/,17301495,21,Perfume BAR,237195,256,18-12-2019,03-10-2025
https://kaspi.kz/shop/p/yves-saint-laurent-libre-zhenskaja-parfjumernaja-voda-edp-90-ml-102147227/,102147227,23,ZARINA BEAUTY,20923,201,05-10-2021,04-10-2025
https://kaspi.kz/shop/p/yves-saint-laurent-libre-zhenskaja-parfjumernaja-voda-edp-90-ml-102147227/,102147227,23,Секрет Аромата,20933,201,05-10-2021,04-10-2025
https://kaspi.kz/shop/p/yves-saint-laurent-libre-zhenskaja-parfjumernaja-voda-edp-90-ml-102147227/,102147227,23,Aura parfum,20935,201,05-10-2021,04-10-2025
https://kaspi.kz/shop/p/yves-saint-laurent-libre-zhenskaja-parfjumernaja-voda-edp-90-ml-102147227/,102147227,23,Elegance Fragrance,20945,201,05-10-2021,04-10-2025
https://kaspi.kz/shop/p/yves-saint-laurent-libre-zhenskaja-parfjumernaja-voda-edp-90-ml-102147227/,102147227,23,Aromatic.kz,20952,201,05-10-2021,04-10-2025
