old_sku_key,new_sku_key,old_my_size,new_my_size,old_sku_id,new_sku_id
CL_NEW-CLO_MEN_TAICI_BLACK,CL_NEW_CLO_MEN_TAICI_BLACK,M,M,CL_NEW-CLO_MEN_TAICI_BLACK_M,CL_NEW_CLO_MEN_TAICI_BLACK_M
CL_NEW-CLO_MEN_TAICI_BLACK,CL_NEW_CLO_MEN_TAICI_BLACK,L,L,CL_NEW-CLO_MEN_TAICI_BLACK_L,CL_NEW_CLO_MEN_TAICI_BLACK_L
CL_NEW-CLO_MEN_TAICI_BLACK,CL_NEW_CLO_MEN_TAICI_BLACK,L,L,CL_NEW-CLO_MEN_TAICI_BLACK_L,CL_NEW_CLO_MEN_TAICI_BLACK_L
CL_NEW-CLO_MEN_TAICI_BLACK,CL_NEW_CLO_MEN_TAICI_BLACK,L,L,CL_NEW-CLO_MEN_TAICI_BLACK_L,CL_NEW_CLO_MEN_TAICI_BLACK_L
CL_NEW-CLO_MEN_TAICI_BLACK,CL_NEW_CLO_MEN_TAICI_BLACK,3XL,3XL,CL_NEW-CLO_MEN_TAICI_BLACK_3XL,CL_NEW_CLO_MEN_TAICI_BLACK_3XL
CL_NEW-CLO_MEN_TAICI_BLACK,CL_NEW_CLO_MEN_TAICI_BLACK,2XL,2XL,CL_NEW-CLO_MEN_TAICI_BLACK_2XL,CL_NEW_CLO_MEN_TAICI_BLACK_2XL
CL_NEW-CLO_MEN_TAICI_BLACK,CL_NEW_CLO_MEN_TAICI_BLACK,2XL,2XL,CL_NEW-CLO_MEN_TAICI_BLACK_2XL,CL_NEW_CLO_MEN_TAICI_BLACK_2XL
CL_NEW-CLO_MEN_TAICI_BLACK,CL_NEW_CLO_MEN_TAICI_BLACK,2XL,2XL,CL_NEW-CLO_MEN_TAICI_BLACK_2XL,CL_NEW_CLO_MEN_TAICI_BLACK_2XL
CL_NEW-CLO_MEN_RUSH-PRO_BLACK,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,XL,XL,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_XL,CL_NEW_CLO_MEN_RUSH_PRO_BLACK_XL
CL_NEW-CLO_MEN_RUSH-PRO_BLACK,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,M,M,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_M,CL_NEW_CLO_MEN_RUSH_PRO_BLACK_M
CL_NEW-CLO_MEN_LEG_BLACK,CL_NEW_CLO_MEN_LEG_BLACK,M,M,CL_NEW-CLO_MEN_LEG_BLACK_M,CL_NEW_CLO_MEN_LEG_BLACK_M
CL_NEW-CLO_MEN_LEG_BLACK,CL_NEW_CLO_MEN_LEG_BLACK,M,M,CL_NEW-CLO_MEN_LEG_BLACK_M,CL_NEW_CLO_MEN_LEG_BLACK_M
CL_NEW-CLO_MEN_LEG_BLACK,CL_NEW_CLO_MEN_LEG_BLACK,M,M,CL_NEW-CLO_MEN_LEG_BLACK_M,CL_NEW_CLO_MEN_LEG_BLACK_M
CL_NEW-CLO_MEN_LEG_BLACK,CL_NEW_CLO_MEN_LEG_BLACK,L,L,CL_NEW-CLO_MEN_LEG_BLACK_L,CL_NEW_CLO_MEN_LEG_BLACK_L
CL_NEW-CLO_MEN_LEG_WHITE,CL_NEW_CLO_MEN_LEG_WHITE,XL,XL,CL_NEW-CLO_MEN_LEG_WHITE_XL,CL_NEW_CLO_MEN_LEG_WHITE_XL
CL_NEW-CLO_MEN_LEG_WHITE,CL_NEW_CLO_MEN_LEG_WHITE,M,M,CL_NEW-CLO_MEN_LEG_WHITE_M,CL_NEW_CLO_MEN_LEG_WHITE_M
CL_NEW-CLO_MEN_LEG_WHITE,CL_NEW_CLO_MEN_LEG_WHITE,M,M,CL_NEW-CLO_MEN_LEG_WHITE_M,CL_NEW_CLO_MEN_LEG_WHITE_M
CL_NEW-CLO_MEN_LEG_WHITE,CL_NEW_CLO_MEN_LEG_WHITE,M,M,CL_NEW-CLO_MEN_LEG_WHITE_M,CL_NEW_CLO_MEN_LEG_WHITE_M
CL_NEW-CLO_MEN_LEG_WHITE,CL_NEW_CLO_MEN_LEG_WHITE,L,L,CL_NEW-CLO_MEN_LEG_WHITE_L,CL_NEW_CLO_MEN_LEG_WHITE_L
CL_NEW-CLO_MEN_LEG_WHITE,CL_NEW_CLO_MEN_LEG_WHITE,L,L,CL_NEW-CLO_MEN_LEG_WHITE_L,CL_NEW_CLO_MEN_LEG_WHITE_L
CL_NEW-CLO_MEN_LEG_WHITE,CL_NEW_CLO_MEN_LEG_WHITE,3XL,3XL,CL_NEW-CLO_MEN_LEG_WHITE_3XL,CL_NEW_CLO_MEN_LEG_WHITE_3XL
CL_NEW-CLO_MEN_TAICI_BLACK,CL_NEW_CLO_MEN_TAICI_BLACK,XL,XL,CL_NEW-CLO_MEN_TAICI_BLACK_XL,CL_NEW_CLO_MEN_TAICI_BLACK_XL
CL_NEW-CLO_MEN_TAICI_BLACK,CL_NEW_CLO_MEN_TAICI_BLACK,L,L,CL_NEW-CLO_MEN_TAICI_BLACK_L,CL_NEW_CLO_MEN_TAICI_BLACK_L
CL_NEW-CLO_MEN_TAICI_BLACK,CL_NEW_CLO_MEN_TAICI_BLACK,3XL,3XL,CL_NEW-CLO_MEN_TAICI_BLACK_3XL,CL_NEW_CLO_MEN_TAICI_BLACK_3XL
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,XL,XL,CL_OC_MEN_PRINT51_BLACK_XL,CL_OC_MEN_PRINT51_BLACK_XL
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,L,L,CL_OC_MEN_PRINT51_BLACK_L,CL_OC_MEN_PRINT51_BLACK_L
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,3XL,3XL,CL_OC_MEN_PRINT51_BLACK_3XL,CL_OC_MEN_PRINT51_BLACK_3XL
CL_OC_MEN_PRINT51_BLACK,CL_OC_MEN_PRINT51_BLACK,3XL,3XL,CL_OC_MEN_PRINT51_BLACK_3XL,CL_OC_MEN_PRINT51_BLACK_3XL
CL_NEW-CLO_MEN_RUSH-PRO_BLACK,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,XL,XL,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_XL,CL_NEW_CLO_MEN_RUSH_PRO_BLACK_XL
CL_NEW-CLO_MEN_RUSH-PRO_BLACK,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,XL,XL,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_XL,CL_NEW_CLO_MEN_RUSH_PRO_BLACK_XL
CL_NEW-CLO_MEN_RUSH-PRO_BLACK,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,L,L,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_L,CL_NEW_CLO_MEN_RUSH_PRO_BLACK_L
CL_NEW-CLO_MEN_RUSH-PRO_BLACK,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,L,L,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_L,CL_NEW_CLO_MEN_RUSH_PRO_BLACK_L
CL_NEW-CLO_MEN_RUSH-PRO_BLACK,CL_NEW_CLO_MEN_RUSH_PRO_BLACK,L,L,CL_NEW-CLO_MEN_RUSH-PRO_BLACK_L,CL_NEW_CLO_MEN_RUSH_PRO_BLACK_L
CL_NEW-CLO_MEN_T-SHIRT_BLACK,CL_NEW_CLO_MEN_T_SHIRT_BLACK,M,M,CL_NEW-CLO_MEN_T-SHIRT_BLACK_M,CL_NEW_CLO_MEN_T_SHIRT_BLACK_M
CL_NEW-CLO_MEN_T-SHIRT_BLACK,CL_NEW_CLO_MEN_T_SHIRT_BLACK,3XL,3XL,CL_NEW-CLO_MEN_T-SHIRT_BLACK_3XL,CL_NEW_CLO_MEN_T_SHIRT_BLACK_3XL
CL_NEW-CLO_MEN_T-SHIRT_BLACK,CL_NEW_CLO_MEN_T_SHIRT_BLACK,XL,XL,CL_NEW-CLO_MEN_T-SHIRT_BLACK_XL,CL_NEW_CLO_MEN_T_SHIRT_BLACK_XL
CL_NEW-CLO_KIDS_KID-31_BLACK,CL_NEW_CLO_KIDS_KID_31_BLACK,28,28,CL_NEW-CLO_KIDS_KID-31_BLACK_28,CL_NEW_CLO_KIDS_KID_31_BLACK_28
CL_NEW-CLO_KIDS_KID-31_BLACK,CL_NEW_CLO_KIDS_KID_31_BLACK,28,28,CL_NEW-CLO_KIDS_KID-31_BLACK_28,CL_NEW_CLO_KIDS_KID_31_BLACK_28
CL_NEW-CLO_KIDS_KID-31_BLACK,CL_NEW_CLO_KIDS_KID_31_BLACK,26,26,CL_NEW-CLO_KIDS_KID-31_BLACK_26,CL_NEW_CLO_KIDS_KID_31_BLACK_26
CL_NEW-CLO_KIDS_KID-31_BLACK,CL_NEW_CLO_KIDS_KID_31_BLACK,28,28,CL_NEW-CLO_KIDS_KID-31_BLACK_28,CL_NEW_CLO_KIDS_KID_31_BLACK_28
CL_NEW-CLO_MEN_LEG_BLACK,CL_NEW_CLO_MEN_LEG_BLACK,L,L,CL_NEW-CLO_MEN_LEG_BLACK_L,CL_NEW_CLO_MEN_LEG_BLACK_L
